director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Harold Ramis,Beverly D'Angelo,Randy Quaid,Jane Krakowski,Adventure Comedy,national lampoon's vacation
Jeff Tremaine,Jackson Nicoll,Georgina Cates,Grasie Mercedes,Comedy,bad grandpa
Stephen Frears,Roger Allam,Sylvia Syms,Alex Jennings,Biography Drama,the queen
Tim Burton,Catherine O'Hara,Jeffrey Jones,Glenn Shadix,Comedy Fantasy,beetlejuice
Tyler Perry,Michael Jai White,Tasha Smith,Lamman Rucker,Comedy Drama,why did i get married?
Gillian Armstrong,Christian Bale,Kirsten Dunst,Eric Stoltz,Drama Family Romance,little women
James Watkins,Daniel Radcliffe,Roger Allam,Jessica Raine,Drama Fantasy Horror Thriller,the woman in black
Simon West,Madeline Carroll,Tessa Thompson,Brian Geraghty,Horror Thriller,when a stranger calls
Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors,Adventure Comedy Family,big fat liar
Michael Cimino,Robert De Niro,Meryl Streep,John Savage,Drama War,the deer hunter
Barry Levinson,Robert De Niro,Kirsten Dunst,John Michael Higgins,Comedy Drama,wag the dog
Jim Fall,Clayton Snyder,Adam Lamberg,Alex Borstein,Adventure Comedy Family Music Romance,the lizzie mcguire movie
Ric Roman Waugh,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,Action Drama Thriller,snitch
Michael Dougherty,Adam Scott,Conchata Ferrell,Allison Tolman,Comedy Fantasy Horror,krampus
Robert Rodriguez,Jordana Brewster,Salma Hayek,Clea DuVall,Horror Mystery Sci-Fi,the faculty
Brian Gibson,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,Biography Drama Music,what's love got to do with it
James Mangold,Robert De Niro,Sylvester Stallone,Janeane Garofalo,Crime Drama Thriller,cop land
Joel Gallen,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,Comedy,not another teen movie
David Ayer,Jake Gyllenhaal,Anna Kendrick,America Ferrera,Crime Drama Thriller,end of watch
Cameron Crowe,Emma Stone,Bradley Cooper,Bill Murray,Comedy Drama Romance,aloha
Rob Cohen,Paul Walker,Leslie Bibb,William Petersen,Action Crime Drama Thriller,the skulls
James Marsh,Eddie Redmayne,Emily Watson,Simon McBurney,Biography Drama Romance,the theory of everything
John Whitesell,Greg Grunberg,Regina Hall,Blair Underwood,Comedy Crime,malibu's most wanted
Matt Williams,Natalie Portman,James Frain,Stockard Channing,Comedy Drama Romance,where the heart is
David Lean,Claude Rains,José Ferrer,Jack Hawkins,Adventure Biography Drama History War,lawrence of arabia
Rob Zombie,Scout Taylor-Compton,Tyler Mane,Margot Kidder,Horror,halloween ii
Jean-Marc Vallée,Michiel Huisman,Kevin Rankin,Gaby Hoffmann,Adventure Biography Drama,wild
Dennis Iliadis,Tony Goldwyn,Monica Potter,Martha MacIsaac,Crime Horror Thriller,the last house on the left
Clare Kilner,Jack Davenport,Debra Messing,Holland Taylor,Comedy Romance,the wedding date
Rick Rosenthal,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,Comedy Horror Thriller,halloween: resurrection
Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,Action Adventure Fantasy,clash of the titans
Rob Reiner,Robin Wright,Carol Kane,André the Giant,Adventure Family Fantasy Romance,the princess bride
Denzel Washington,Denzel Washington,Jurnee Smollett-Bell,John Heard,Biography Drama,the great debaters
Nicolas Winding Refn,Ryan Gosling,Albert Brooks,Russ Tamblyn,Crime Drama,drive
Sara Sugarman,Adam Garcia,Carol Kane,Glenne Headly,Comedy Family Music Romance,confessions of a teenage drama queen
Nicholas Hytner,Liam Aiken,Tim Daly,Kali Rocha,Comedy Drama Romance,the object of my affection
Juan Carlos Fresnadillo,Jeremy Renner,Harold Perrineau,Catherine McCormack,Drama Horror Sci-Fi,28 weeks later
Thomas Carter,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,Drama Family Sport,when the game stands tall
Wayne Wang,Cicely Tyson,Luke Benward,Eva Marie Saint,Comedy Drama Family,because of winn-dixie
Gina Prince-Bythewood,Alfre Woodard,Sanaa Lathan,Omar Epps,Drama Romance Sport,love & basketball
George Armitage,Minnie Driver,Michael Cudlitz,Mitchell Ryan,Action Comedy Crime Romance Thriller,grosse pointe blank
Phil Traill,Bradley Cooper,Katy Mixon,Beth Grant,Comedy Romance,all about steve
Joe Berlinger,Kim Director,Erica Leerhsen,Kurt Loder,Adventure Fantasy Horror Mystery Thriller,book of shadows: blair witch 2
Andrew Fleming,Christine Taylor,Rachel True,Brenda Strong,Drama Fantasy Horror Thriller,the craft
Woody Allen,Scarlett Johansson,Mark Gatiss,Penelope Wilton,Drama Romance Thriller,match point
Elizabeth Allen Rosenbaum,Sierra McCormick,Hutch Dano,Jason Spevack,Adventure Comedy Family Fantasy,ramona and beezus
James Ivory,Anthony Hopkins,Peter Vaughan,Ben Chaplin,Drama Romance,the remains of the day
Paul Thomas Anderson,Don Cheadle,Nicole Ari Parker,Nina Hartley,Drama,boogie nights
Robert Harmon,Kieran Culkin,Rosanna Arquette,Joss Ackland,Action Crime Drama Romance Thriller,nowhere to run
Michael Mayer,Alison Lohman,Danny Pino,Tim McGraw,Adventure Drama Family,flicka
Martin Weisz,Jeff Kober,Daniella Alonso,Jacob Vargas,Horror,the hills have eyes ii
John Ottman,Loretta Devine,Joey Lawrence,Jacinda Barrett,Horror Mystery Thriller,urban legends: final cut
Jay Russell,William Hurt,Sissy Spacek,Jonathan Jackson,Drama Family Fantasy Romance,tuck everlasting
John Bonito,Kelly Carlson,Firass Dirani,Drew Powell,Action Drama Thriller,the marine
Peter Atencio,Nia Long,Will Forte,Keegan-Michael Key,Action Comedy,keanu
Shana Feste,Leighton Meester,Cinda McCain,Tim McGraw,Drama Music,country strong
David Nutter,Bruce Greenwood,Ethan Embry,Katharine Isabelle,Horror Mystery Sci-Fi Thriller,disturbing behavior
Derek Cianfrance,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,Crime Drama Thriller,the place beyond the pines
Roger Donaldson,Luke Bracey,Akie Kotabe,Will Patton,Action Crime Thriller,the november man
Stephan Elliott,Jason Priestley,Patrick Bergin,Geneviève Bujold,Drama Mystery Thriller,eye of the beholder
Kathryn Bigelow,Jeremy Renner,Christian Camargo,Brian Geraghty,Drama History Thriller War,the hurt locker
Mark L. Lester,Heather Locklear,George C. Scott,David Keith,Action Horror Sci-Fi Thriller,firestarter
Andrew Dominik,Brad Pitt,Sam Shepard,Ben Mendelsohn,Crime Thriller,killing them softly
Anton Corbijn,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,Crime Drama Thriller,a most wanted man
Tom Green,Rip Torn,Harland Williams,Eddie Kaye Thomas,Comedy,freddy got fingered
Mike Nawrocki,Yuri Lowenthal,Cam Clarke,Phil Vischer,Adventure Animation Comedy Family,the pirates who don't do anything: a veggietales movie
Catherine Owens,Bono,The Edge,Larry Mullen Jr.,Documentary Music,u2 3d
Douglas Aarniokoski,Christopher Lambert,Adrian Paul,Adam Copeland,Action Adventure Fantasy Sci-Fi,highlander: endgame
Bryan Barber,Cicely Tyson,Faizon Love,Bobb'e J. Thompson,Crime Drama Musical Romance,idlewild
Lone Scherfig,Anne Hathaway,Jim Sturgess,Rafe Spall,Drama Romance,one day
Drew Barrymore,Daniel Stern,Jimmy Fallon,Alia Shawkat,Drama Sport,whip it
Brian Koppelman,Vin Diesel,Tom Noonan,Kevin Gage,Crime Drama Thriller,knockaround guys
James Foley,Louis Lombardi,Brian Van Holt,Leland Orser,Crime Thriller,confidence
Albert Brooks,Jeff Bridges,Bradley Whitford,Albert Brooks,Comedy,the muse
Irwin Winkler,Kevin McNally,Keith Allen,Sandra Nelson,Biography Drama Music Musical,de-lovely
Woody Allen,Woody Allen,Larry David,Mia Farrow,Comedy Drama Romance,new york stories
Steve Gomer,Trevor Morgan,Kyla Pratt,Shirley Douglas,Adventure Family,barney's great adventure
RZA,Rick Yune,RZA,Daniel Wu,Action,the man with the iron fists
Dean Parisot,Catherine O'Hara,Jake Busey,Shelley Duvall,Comedy Drama Romance,home fries
Mark Piznarski,Bruce Greenwood,Chris Klein,Elaine Hendrix,Drama Romance,here on earth
Terry Gilliam,Robert De Niro,Bob Hoskins,Jim Broadbent,Drama Sci-Fi,brazil
Sean McNamara,Oliver James,Rebecca De Mornay,Jason Ritter,Family Music Romance,raise your voice
unknown,David Ogden Stiers,Nicole de Boer,Chris Bruno,Drama Fantasy Mystery Sci-Fi,the dead zone            
Joel Coen,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,Comedy Crime,the big lebowski
Craig Brewer,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson,Drama Music,black snake moan
Ron Shelton,Khandi Alexander,Dash Mihok,Michael Michele,Crime Drama Romance Thriller,dark blue
Michael Winterbottom,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,Biography Drama History Thriller War,a mighty heart
David Raynr,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,Comedy Drama Romance,whatever it takes
Mort Nathan,Vivica A. Fox,Lin Shaye,Bob Gunton,Comedy,boat trip
Oliver Parker,Colin Firth,Tom Wilkinson,Rupert Everett,Comedy Drama Romance,the importance of being earnest
Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,Fantasy Romance,the love letter
Wil Shriner,Logan Lerman,Neil Flynn,Tim Blake Nelson,Adventure Comedy Family,hoot
Martin McDonagh,Elizabeth Berrington,Anna Madeley,Eric Godon,Comedy Crime Drama,in bruges
Tina Gordon Chism,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,Comedy Romance,peeples
Peter Cattaneo,Emma Stone,Bradley Cooper,Josh Gad,Comedy Music,the rocker
Vicky Jenson,J.K. Simmons,Zach Gilford,Bobby Coleman,Comedy Romance,post grad
Gus Van Sant,Matt Damon,Hal Holbrook,Terry Kinney,Drama,promised land
Woody Allen,Larry David,Michael McKean,Conleth Hill,Comedy Romance,whatever works
Mary Lambert,Matthew Settle,Susan Ward,A.J. Buckley,Drama Mystery Thriller,the in crowd
Tommy Lee Jones,Levon Helm,Dwight Yoakam,Guillermo Arriaga,Adventure Crime Drama Mystery Western,three burials
Peter Kassovitz,Robin Williams,Mark Margolis,Michael Jeter,Drama War,jakob the liar
Shane Black,Robert Downey Jr.,Corbin Bernsen,Larry Miller,Comedy Crime Mystery,kiss kiss bang bang
Rodman Flender,Vivica A. Fox,Fred Willard,Elden Henson,Comedy Fantasy Horror Thriller,idle hands
David Lynch,Naomi Watts,Robert Forster,Laura Harring,Drama Mystery Thriller,mulholland drive
Katja von Garnier,Olivier Martinez,Agnes Bruckner,Chris Geere,Drama Fantasy Horror Romance,blood and chocolate
Woody Allen,Anthony Hopkins,Naomi Watts,Ewen Bremner,Comedy Drama Romance,you will meet a tall dark stranger
Mark Romanek,Andrew Garfield,Charlie Rowe,Charlotte Rampling,Drama Romance Sci-Fi,never let me go
unknown,Anna Silk,Tom Hollander,Alessandro Nivola,Drama History Thriller,the company            
Brad Anderson,Thomas Kretschmann,Eduardo Noriega,Mac McDonald,Crime Drama Mystery Thriller,transsiberian
Michael Chapman,Curtis Armstrong,Pamela Reed,Mike Muscat,Adventure Drama Fantasy,the clan of the cave bear
Antonio Banderas,Meat Loaf,Elizabeth Perkins,Noah Emmerich,Comedy Crime Drama,crazy in alabama
Michael Haneke,Naomi Watts,Siobhan Fallon Hogan,Brady Corbet,Crime Drama Horror Thriller,funny games
Khalil Sullins,Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger,Drama Sci-Fi Thriller,listening
Atom Egoyan,Bob Hoskins,Elaine Cassidy,Gerard McSorley,Drama Thriller,felicia's journey
Fritz Lang,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,Drama Sci-Fi,metropolis
Pierre Morel,David Belle,Cyril Raffaelli,Dany Verissimo-Petit,Action Crime Thriller,district b13
Gary Fleder,Steve Buscemi,Bill Cobbs,Treat Williams,Crime Drama,things to do in denver when you're dead
Hsiao-Hsien Hou,Qi Shu,Chen Chang,Satoshi Tsumabuki,Action Drama,the assassin
Gregor Jordan,Dean Stockwell,Scott Glenn,Leon,Comedy Crime Drama Thriller War,buffalo soldiers
Andrey Zvyagintsev,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,Drama Mystery Thriller,the return
Tony Jaa,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,Action,ong-bak 2
Neil Marshall,Michael Fassbender,JJ Feild,Dave Legeno,Action Adventure Drama History Thriller War,centurion
Russell Mulcahy,Christopher Heyerdahl,Gina Bellman,Conrad Dunn,Action Drama Thriller,silent trigger
Ryûhei Kitamura,Bradley Cooper,Brooke Shields,Leslie Bibb,Fantasy Horror Mystery,the midnight meat train
Darrell Roodt,Jennifer Hudson,Wendy Crewson,Aubrey Poo,Biography Drama History,winnie mandela
Dito Montiel,Channing Tatum,Al Pacino,Tracy Morgan,Crime Drama Thriller,the son of no one
Stefan Ruzowitzky,Eddie Izzard,Udo Kier,Edward Fox,Action Comedy Drama War,all the queen's men
Jake Paltrow,Stephen Graham,Gael Le Cornec,Keith Allen,Comedy Drama Fantasy Music Romance,the good night
Juraj Jakubisko,Anna Friel,Hans Matheson,Franco Nero,Biography Drama Fantasy History,bathory: countess of blood
Anthony Silverston,Liam Neeson,Steve Buscemi,Loretta Devine,Adventure Animation Family,khumba
Gabe Ibáñez,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,Action Sci-Fi Thriller,automata
Gerry Lively,Bruce Payne,Lucy Gaskell,Steven Elder,Action Adventure Fantasy,dungeons & dragons: wrath of the dragon god
Daniele Luchetti,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,Biography,chiamatemi francesco - il papa della gente
Tung-Shing Yee,Bingbing Fan,Daniel Wu,Yasuaki Kurata,Action Crime Drama Thriller,shinjuku incident
Julien Temple,Samantha Morton,Dexter Fletcher,Linus Roache,Biography Drama,pandaemonium
Harold Ramis,Bill Murray,Chris Elliott,Willie Garson,Comedy Fantasy Romance,groundhog day
Gregory Jacobs,Matt Bomer,Channing Tatum,Kevin Nash,Comedy Drama Music,magic mike xxl
Baz Luhrmann,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Drama Romance,romeo + juliet
Gilles Paquet-Brenner,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Drama War,sarah's key
Peter Cousens,Sharon Leal,David Rasche,Bart Shatto,Drama Family Music,freedom
Clint Eastwood,Clint Eastwood,Morgan Freeman,Frances Fisher,Drama Western,unforgiven
Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Drama,manderlay
Danny Boyle,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Drama Romance,slumdog millionaire
Adrian Lyne,Fred Gwynne,Lois Smith,Anne Archer,Drama Romance Thriller,fatal attraction
Garry Marshall,Julia Roberts,Hector Elizondo,Jason Alexander,Comedy Romance,pretty woman
John Blanchard,Martin Short,Andrea Martin,Joe Flaherty,Comedy,towering inferno            
John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,Action Adventure Comedy,crocodile dundee ii
Vidhu Vinod Chopra,María Valverde,Chris Marquette,Chad Bishop,Action Crime Drama Mystery Thriller,broken horses
Oliver Stone,Tom Cruise,Tom Berenger,Stephen Baldwin,Biography Drama War,born on the fourth of july
Jon Turteltaub,Doug E. Doug,Leon,Malik Yoba,Adventure Comedy Family Sport,cool runnings
Patrick Lussier,Jensen Ackles,Jaime King,Edi Gathegi,Horror Thriller,my bloody valentine
Ole Bornedal,Kyra Sedgwick,Madison Davenport,Natasha Calis,Horror Thriller,the possession
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,Action Adventure Drama,first blood
Sylvain White,Chris Brown,Laz Alonso,Harry Lennix,Drama Music Romance,stomp the yard
Lewis Gilbert,Caroline Munro,Desmond Llewelyn,Barbara Bach,Action Adventure Sci-Fi Thriller,the spy who loved me
unknown,Amy Bruni,Steve Gonsalves,Jason Hawes,Documentary,ghost hunters            
Jamie Blanks,Alicia Witt,Loretta Devine,Julian Richings,Horror Mystery Thriller,urban legend
Stephen Frears,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Drama Romance,dangerous liaisons
Tyler Perry,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,Comedy Drama Romance,good deeds
Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,Adventure Drama,white fang
Bruce McCulloch,Will Ferrell,Elaine Hendrix,Molly Shannon,Comedy Romance,superstar
Phyllida Lloyd,Meryl Streep,Jim Broadbent,Olivia Colman,Biography Drama History,the iron lady
Mike Nawrocki,Phil Vischer,Mike Nawrocki,Shelby Vischer,Adventure Animation Comedy Drama Family Musical,jonah: a veggietales movie
John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou,Drama Romance,poetic justice
Kevin Bray,Mike Epps,Roger Guenveur Smith,Gino Salvano,Action Comedy Crime Thriller,all about the benjamins
Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne,Comedy Fantasy Horror Romance,vampire in brooklyn
John Boorman,Linda Blair,Richard Burton,Ned Beatty,Horror,exorcist ii: the heretic
Courtney Solomon,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,Horror Mystery Thriller,an american haunting
David Zucker,Carmen Electra,Tyler Labine,Molly Shannon,Comedy Romance,my boss's daughter
David Twohy,Chris Hemsworth,Milla Jovovich,Marley Shelton,Adventure Mystery Thriller,a perfect getaway
Rick Famuyiwa,America Ferrera,Lance Gross,Lupe Ontiveros,Comedy Romance,our family wedding
Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,Comedy,dead man on campus
Franco Zeffirelli,Lily Tomlin,Joan Plowright,Paolo Seganti,Comedy Drama War,tea with mussolini
Tom Holland,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,Fantasy Horror,thinner
Martin Scorsese,Robert De Niro,Liza Minnelli,Mary Kay Place,Drama Music Musical Romance,"new york, new york"
Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,Comedy Drama,crooklyn
Chris Rock,Steve Buscemi,Eliza Coupe,Wendell Pierce,Comedy Drama Romance,i think i love my wife
James Isaac,Peter Mensah,Kane Hodder,Lexa Doig,Action Horror Sci-Fi Thriller,jason x
Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors,Adventure Comedy Family,big fat liar
Emilio Estevez,Anthony Hopkins,Nick Cannon,Brian Geraghty,Drama History,bobby
Mark Waters,Monica Potter,Ivana Milicevic,China Chow,Comedy Mystery Romance,head over heels
Josh Schwartz,Thomas McDonell,Jackson Nicoll,Osric Chau,Adventure Comedy,fun size
Julian Schnabel,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,Biography Drama,the diving bell and the butterfly
Todd Field,Kate Winslet,Noah Emmerich,Jane Adams,Drama Romance,little children
Davis Guggenheim,Norman Reedus,Sharon Lawrence,Noam Jenkins,Drama Mystery Thriller,gossip
Tony Goldwyn,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Drama,a walk on the moon
Phillip Noyce,Derek Luke,Terry Pheto,Bonnie Henna,Biography Drama History,catch a fire
Stephen Carpenter,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Drama Horror Mystery Thriller,soul survivors
James Ivory,Seth Gilliam,Todd Boyce,Nigel Whitmey,Biography Drama History Romance,jefferson in paris
Stephan Elliott,Colin Firth,Kristin Scott Thomas,Kris Marshall,Comedy Romance,easy virtue
James Fargo,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,Action Adventure History,caravans
Mike Leigh,Lesley Manville,Ruth Sheen,Karl Johnson,Biography Drama History,mr. turner
Alain Resnais,Mathieu Amalric,Sara Forestier,Edouard Baer,Drama Romance,wild grass
Costa-Gavras,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,Biography Crime Drama War,amen.
Chao-Bin Su,Woo-sung Jung,Shawn Yue,Kelly Lin,Action,reign of assassins
Neil Burger,John Heard,Katherine LaNasa,Mark L. Young,Comedy Drama War,the lucky ones
Kenneth Lonergan,Matt Damon,Kieran Culkin,John Gallagher Jr.,Drama,margaret
Bo Zenga,Steve Howey,Kenan Thompson,Diora Baird,Comedy Horror,stan helsing
Rob Reiner,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,Comedy Drama Romance,flipped
Ang Lee,Jake Gyllenhaal,Heath Ledger,Anne Hathaway,Drama Romance,brokeback mountain
Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles
Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan,Comedy Romance,clueless
Todd Haynes,Dennis Quaid,Celia Weston,Michael Gaston,Drama Romance,far from heaven
Steve Pink,Adam Scott,Gillian Jacobs,Collette Wolfe,Comedy Sci-Fi,hot tub time machine 2
unknown,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,Drama,dekalog            
Philip Kaufman,Kate Winslet,Stephen Marcus,Amelia Warner,Biography Drama,quills
Martin McDonagh,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,Comedy Crime,seven psychopaths
Kasi Lemmons,Colm Feore,Tamara Tunie,Aunjanue Ellis,Crime Drama Music Mystery Thriller,the caveman's valentine
unknown,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,Action Crime Drama Thriller,the border            
Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,Biography Drama History War,downfall
Alejandro Amenábar,Belén Rueda,Lola Dueñas,Tamar Novas,Biography Drama Romance,the sea inside
Jonathan Glazer,Scarlett Johansson,Paul Brannigan,Alison Chand,Drama Horror Sci-Fi Thriller,under the skin
Barry Levinson,Robin Williams,J.T. Walsh,Bruno Kirby,Biography Comedy Drama War,"good morning, vietnam"
Hyung-rae Shim,Jason Mewes,Stephanie Danielson,Michael Rispoli,Comedy,the last godfather
Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,Documentary Music,justin bieber: never say never
Darren Aronofsky,Natalie Portman,Mila Kunis,Mark Margolis,Drama Thriller,black swan
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller,robocop
Francis Ford Coppola,Robert De Niro,Al Pacino,Robert Duvall,Crime Drama,the godfather: part ii
Thomas Carter,Sean Patrick Thomas,Terry Kinney,Fredro Starr,Drama Music Romance,save the last dance
Renny Harlin,Tuesday Knight,Rodney Eastman,Brooke Bundy,Fantasy Horror Thriller,a nightmare on elm street 4: the dream master
Patricia Riggen,Jennifer Garner,Brighton Sharbino,Martin Henderson,Drama,miracles from heaven
Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Comedy Mystery,"dude, where's my car?"
Christopher Cain,Jack Palance,Patrick Wayne,Brian Keith,Action Crime Drama Thriller Western,young guns
Theodore Melfi,Bill Murray,Naomi Watts,Reg E. Cathey,Comedy Drama,st. vincent
Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen,Comedy Romance,about last night
Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,Comedy Drama Romance,10 things i hate about you
Ed Decter,Zooey Deschanel,Eddie Griffin,Gene Simmons,Comedy,the new guy
Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,Action Comedy Crime,loaded weapon 1
Jaume Collet-Serra,Óscar Jaenada,Brett Cullen,Sedona Legge,Drama Horror Thriller,the shallows
Eric Bress,Logan Lerman,Eric Stoltz,Cameron Bright,Sci-Fi Thriller,the butterfly effect
Chris Koch,Chris Elliott,Mark Webber,Jean Smart,Adventure Comedy Family,snow day
Preston A. Whitmore II,Mekhi Phifer,Chris Brown,Loretta Devine,Comedy Drama Romance,this christmas
Bob Clark,Kathleen Turner,Dom DeLuise,Ruby Dee,Comedy Crime Family Sci-Fi,baby geniuses
Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,Action Comedy Crime Thriller,the big hit
Bronwen Hughes,Gregory Smith,Eartha Kitt,Charlotte Sullivan,Comedy Drama Family,harriet the spy
John Lafia,Jenny Agutter,Beth Grant,Greg Germann,Fantasy Horror,child's play 2
Sam Miller,Leslie Bibb,Kate del Castillo,Henry Simmons,Crime Thriller,no good deed
Frank Darabont,Toby Jones,Alexa Davalos,Jeffrey DeMunn,Horror,the mist
Alex Garland,Elina Alminas,Sonoya Mizuno,Corey Johnson,Drama Mystery Sci-Fi Thriller,ex machina
Spike Jonze,Willie Garson,Orson Bean,Mary Kay Place,Comedy Drama Fantasy,being john malkovich
Mark Brown,Mo'Nique,Vivica A. Fox,Tamala Jones,Comedy Romance,two can play that game
Dave Green,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,Adventure Family Sci-Fi,earth to echo
John Stockwell,Kirsten Dunst,Jay Hernandez,Rolando Molina,Drama Romance,crazy/beautiful
Clint Eastwood,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,Drama History War,letters from iwo jima
Michael Polish,J.K. Simmons,Virginia Madsen,Bruce Dern,Adventure Drama Sci-Fi,the astronaut farmer
Daisy von Scherler Mayer,LL Cool J,Jada Pinkett Smith,Dave Chappelle,Comedy Romance,woo
Lenny Abrahamson,Joan Allen,Jacob Tremblay,Cas Anvar,Drama,room
Bob Saget,Don Rickles,Jack Warden,Traylor Howard,Comedy,dirty work
John Waters,Kathleen Turner,Sam Waterston,Traci Lords,Comedy Crime Thriller,serial mom
Andrew Fleming,Ryan Reynolds,Will Ferrell,Kirsten Dunst,Comedy,dick
Niels Arden Oplev,Michael Nyqvist,David Dencik,Lena Endre,Action Crime Mystery Thriller,del 1 - män som hatar kvinnor            
Craig Bolotin,Rosario Dawson,Vanessa Williams,Robert Ri'chard,Drama Thriller,light it up
Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward,Drama Music,54
Blair Hayes,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,Adventure Comedy Romance Sci-Fi,bubble boy
Jez Butterworth,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,Comedy Crime Thriller,birthday girl
Jon Lucas,Justin Chon,Josie Loren,Sarah Wright,Comedy,21 & over
Olivier Assayas,Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,Comedy Drama Romance,"paris, je t'aime"
Rod Lurie,Harry Lennix,Kathryn Morris,Peter Coyote,Drama Sport,resurrecting the champ
Paul Weitz,Tina Fey,Sarita Choudhury,Christopher Evan Welch,Comedy Drama Romance,admission
Patrice Leconte,Emir Kusturica,Daniel Auteuil,Yves Jacques,Drama Romance,the widow of saint-pierre
Atom Egoyan,Liam Neeson,Meghan Heffern,Natalie Lisinska,Drama Mystery Romance Thriller,chloe
Paul Mazursky,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Comedy Crime Drama,faithful
Jim Sheridan,Natalie Portman,Jake Gyllenhaal,Ethan Suplee,Drama Thriller,brothers
Sidney Lumet,Peter Dinklage,Vin Diesel,Alex Rocco,Biography Comedy Crime Drama,find me guilty
Stephen Chbosky,Logan Lerman,Ezra Miller,Kate Walsh,Drama Romance,the perks of being a wallflower
Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith,Action,excessive force
Douglas McGrath,Toby Jones,Isabella Rossellini,Hope Davis,Biography Crime Drama,infamous
Michael Winterbottom,Milla Jovovich,Sarah Polley,Shirley Henderson,Drama Romance Western,the claim
Mark Neveldine,Djimon Hounsou,Alison Lohman,Dougray Scott,Horror Thriller,the vatican tapes
Joe Cornish,John Boyega,Luke Treadaway,Jodie Whittaker,Action Comedy Sci-Fi Thriller,attack the block
