director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Christopher Erskin,Vanessa Williams,Shannon Elizabeth,Shad Moss,Comedy,johnson family vacation,Vanessa Williams Shannon Elizabeth Shad Moss Christopher Erskin Comedy
Jesse Dylan,Hector Elizondo,Fred Willard,T.J. Thyne,Comedy Fantasy,how high,Hector Elizondo Fred Willard T.J. Thyne Jesse Dylan Comedy Fantasy
Brian Henson,Steven Mackintosh,Jerry Nelson,Steve Whitmire,Comedy Drama Family Fantasy Musical,the muppet christmas carol,Steven Mackintosh Jerry Nelson Steve Whitmire Brian Henson Comedy Drama Family Fantasy Musical
Martin Campbell,Eva Green,Tobias Menzies,Ivana Milicevic,Action Adventure Thriller,casino royale,Eva Green Tobias Menzies Ivana Milicevic Martin Campbell Action Adventure Thriller
Julie Taymor,Salma Hayek,Roger Rees,Valeria Golino,Biography Drama Romance,frida,Salma Hayek Roger Rees Valeria Golino Julie Taymor Biography Drama Romance
Dan Cutforth,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,Documentary Music,katy perry: part of me,Lexie Contursi Ashley Ashida Dixon Anthony Burrell Dan Cutforth Documentary Music
Josh Boone,Shailene Woodley,Sam Trammell,Nat Wolff,Drama Romance,the fault in our stars,Shailene Woodley Sam Trammell Nat Wolff Josh Boone Drama Romance
John Dahl,Matt Damon,Martin Landau,Gretchen Mol,Crime Drama,rounders,Matt Damon Martin Landau Gretchen Mol John Dahl Crime Drama
Chris Rock,Rosario Dawson,Romany Malco,J.B. Smoove,Comedy Romance,top five,Rosario Dawson Romany Malco J.B. Smoove Chris Rock Comedy Romance
John Frankenheimer,Talia Shire,Richard Dysart,Robert Foxworth,Horror Sci-Fi,prophecy,Talia Shire Richard Dysart Robert Foxworth John Frankenheimer Horror Sci-Fi
David Koepp,Illeana Douglas,Kathryn Erbe,Lusia Strus,Horror Mystery Thriller,stir of echoes,Illeana Douglas Kathryn Erbe Lusia Strus David Koepp Horror Mystery Thriller
unknown,Peter Mensah,Kelvin Taylor,Viva Bianca,Action Adventure Biography Drama History,spartacus: war of the damned            ,Peter Mensah Kelvin Taylor Viva Bianca unknown Action Adventure Biography Drama History
Stephen Frears,Steve Coogan,Mare Winningham,Peter Hermann,Biography Drama,philomena,Steve Coogan Mare Winningham Peter Hermann Stephen Frears Biography Drama
Mike Binder,Alicia Witt,Erika Christensen,Joan Allen,Comedy Drama,the upside of anger,Alicia Witt Erika Christensen Joan Allen Mike Binder Comedy Drama
Franklin J. Schaffner,Laurence Olivier,Anne Meara,Steve Guttenberg,Drama Thriller,the boys from brazil,Laurence Olivier Anne Meara Steve Guttenberg Franklin J. Schaffner Drama Thriller
Elizabeth Allen Rosenbaum,Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,Comedy Family Fantasy Romance,aquamarine,Tammin Sursok Joanna 'JoJo' Levesque Dichen Lachman Elizabeth Allen Rosenbaum Comedy Family Fantasy Romance
Jake Schreier,Nat Wolff,Cara Delevingne,Meg Crosbie,Drama Mystery Romance,paper towns,Nat Wolff Cara Delevingne Meg Crosbie Jake Schreier Drama Mystery Romance
Cheryl Dunye,Michael Imperioli,Marsha Thomason,Bai Ling,Comedy,my baby's daddy,Michael Imperioli Marsha Thomason Bai Ling Cheryl Dunye Comedy
Alexander Payne,Devin Ratray,Bruce Dern,Will Forte,Adventure Comedy Drama,nebraska,Devin Ratray Bruce Dern Will Forte Alexander Payne Adventure Comedy Drama
Ernest R. Dickerson,CCH Pounder,Jada Pinkett Smith,Gary Farmer,Action Fantasy Horror Thriller,tales from the crypt: demon knight,CCH Pounder Jada Pinkett Smith Gary Farmer Ernest R. Dickerson Action Fantasy Horror Thriller
Tim Hill,Noel Fisher,Amber Valletta,Larry Miller,Comedy Crime Family,max keeble's big move,Noel Fisher Amber Valletta Larry Miller Tim Hill Comedy Crime Family
Jason Reitman,Charlize Theron,Patton Oswalt,Collette Wolfe,Comedy Drama,young adult,Charlize Theron Patton Oswalt Collette Wolfe Jason Reitman Comedy Drama
Mark Neveldine,Jason Statham,Edi Gathegi,Jose Pablo Cantillo,Action Crime Thriller,crank,Jason Statham Edi Gathegi Jose Pablo Cantillo Mark Neveldine Action Crime Thriller
Lionel C. Martin,Bernie Mac,Gilbert Gottfried,Lark Voorhies,Comedy,how to be a player,Bernie Mac Gilbert Gottfried Lark Voorhies Lionel C. Martin Comedy
Richard LaGravenese,Holly Hunter,Eddie Cibrian,Jenette Goldstein,Comedy Drama Romance,living out loud,Holly Hunter Eddie Cibrian Jenette Goldstein Richard LaGravenese Comedy Drama Romance
Sanaa Hamri,Common,Laz Alonso,Mehcad Brooks,Comedy Romance Sport,just wright,Common Laz Alonso Mehcad Brooks Sanaa Hamri Comedy Romance Sport
Jonathan Demme,Anne Hathaway,Rosemarie DeWitt,Bill Irwin,Drama Romance,rachel getting married,Anne Hathaway Rosemarie DeWitt Bill Irwin Jonathan Demme Drama Romance
Bob Rafelson,Anjelica Huston,Michael Lerner,John Colicos,Crime Drama Romance Thriller,the postman always rings twice,Anjelica Huston Michael Lerner John Colicos Bob Rafelson Crime Drama Romance Thriller
Peter Webber,Scarlett Johansson,Colin Firth,Tom Wilkinson,Biography Drama Romance,girl with a pearl earring,Scarlett Johansson Colin Firth Tom Wilkinson Peter Webber Biography Drama Romance
Wolfgang Petersen,Jürgen Prochnow,Martin Semmelrogge,Herbert Grönemeyer,Adventure Drama Thriller War,das boot,Jürgen Prochnow Martin Semmelrogge Herbert Grönemeyer Wolfgang Petersen Adventure Drama Thriller War
John Lee Hancock,Dennis Quaid,Marc Blucas,Jordi Mollà,Drama History War Western,the alamo,Dennis Quaid Marc Blucas Jordi Mollà John Lee Hancock Drama History War Western
Wallace Wolodarsky,Heather Matarazzo,Barry Watson,Harland Williams,Comedy,sorority boys,Heather Matarazzo Barry Watson Harland Williams Wallace Wolodarsky Comedy
Richard Curtis,Tom Hughes,Tom Hollander,Lindsay Duncan,Drama Fantasy Romance,about time,Tom Hughes Tom Hollander Lindsay Duncan Richard Curtis Drama Fantasy Romance
Yimou Zhang,Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,Action Adventure Drama Romance,house of flying daggers,Takeshi Kaneshiro Andy Lau Zhengyong Zhang Yimou Zhang Action Adventure Drama Romance
Nicholas Jarecki,Nate Parker,Curtiss Cook,Reg E. Cathey,Drama Thriller,arbitrage,Nate Parker Curtiss Cook Reg E. Cathey Nicholas Jarecki Drama Thriller
Dean Israelite,Gary Weeks,Jonny Weston,Sofia Black-D'Elia,Sci-Fi Thriller,project almanac,Gary Weeks Jonny Weston Sofia Black-D'Elia Dean Israelite Sci-Fi Thriller
Darnell Martin,Cedric the Entertainer,Veronika Dash,Tammy Blanchard,Biography Drama Music,cadillac records,Cedric the Entertainer Veronika Dash Tammy Blanchard Darnell Martin Biography Drama Music
Scott Alexander,Sarah Silverman,Dave Chappelle,Sherman Hemsley,Comedy Crime,screwed,Sarah Silverman Dave Chappelle Sherman Hemsley Scott Alexander Comedy Crime
Stuart Gordon,Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,Action Crime Sci-Fi Thriller,fortress,Christopher Lambert Kurtwood Smith Clifton Collins Jr. Stuart Gordon Action Crime Sci-Fi Thriller
Christopher Guest,John Michael Higgins,Catherine O'Hara,Ed Begley Jr.,Comedy,for your consideration,John Michael Higgins Catherine O'Hara Ed Begley Jr. Christopher Guest Comedy
Woody Allen,Melanie Griffith,Aleksa Palladino,Greg Mottola,Comedy Drama,celebrity,Melanie Griffith Aleksa Palladino Greg Mottola Woody Allen Comedy Drama
Ryan Murphy,Jill Clayburgh,Joseph Cross,Dagmara Dominczyk,Comedy Drama,running with scissors,Jill Clayburgh Joseph Cross Dagmara Dominczyk Ryan Murphy Comedy Drama
Robert Iscove,Anika Noni Rose,Kelly Clarkson,Brian Dietzen,Comedy Musical Romance,from justin to kelly,Anika Noni Rose Kelly Clarkson Brian Dietzen Robert Iscove Comedy Musical Romance
Spike Lee,Michael Imperioli,Debi Mazar,Gretchen Mol,Comedy Drama,girl 6,Michael Imperioli Debi Mazar Gretchen Mol Spike Lee Comedy Drama
Jane Campion,Jennifer Jason Leigh,Nick Damici,Susan Gardner,Mystery Thriller,in the cut,Jennifer Jason Leigh Nick Damici Susan Gardner Jane Campion Mystery Thriller
James Gray,Isabella Rossellini,Vinessa Shaw,Samantha Ivers,Drama Romance,two lovers,Isabella Rossellini Vinessa Shaw Samantha Ivers James Gray Drama Romance
Fred Schepisi,Bob Hoskins,Ray Winstone,JJ Feild,Drama,last orders,Bob Hoskins Ray Winstone JJ Feild Fred Schepisi Drama
Joon-ho Bong,Doona Bae,Kang-ho Song,Ah-sung Ko,Comedy Drama Horror Sci-Fi,the host,Doona Bae Kang-ho Song Ah-sung Ko Joon-ho Bong Comedy Drama Horror Sci-Fi
Roger Spottiswoode,Robert Duvall,Treat Williams,Paul Gleason,Adventure Crime Thriller,the pursuit of d.b. cooper,Robert Duvall Treat Williams Paul Gleason Roger Spottiswoode Adventure Crime Thriller
Antonia Bird,Jeremy Davies,Jeffrey Jones,David Arquette,Fantasy Horror Thriller,ravenous,Jeremy Davies Jeffrey Jones David Arquette Antonia Bird Fantasy Horror Thriller
Jon Poll,Robert Downey Jr.,Megan Park,Hope Davis,Comedy Drama Romance,charlie bartlett,Robert Downey Jr. Megan Park Hope Davis Jon Poll Comedy Drama Romance
Paolo Sorrentino,Toni Servillo,Sabrina Ferilli,Serena Grandi,Drama,the great beauty,Toni Servillo Sabrina Ferilli Serena Grandi Paolo Sorrentino Drama
Peter Care,Kieran Culkin,Michael Harding,Jake Richardson,Comedy Drama,the dangerous lives of altar boys,Kieran Culkin Michael Harding Jake Richardson Peter Care Comedy Drama
Chan-wook Park,Mia Wasikowska,Alden Ehrenreich,Harmony Korine,Drama Thriller,stoker,Mia Wasikowska Alden Ehrenreich Harmony Korine Chan-wook Park Drama Thriller
Kar-Wai Wong,Li Gong,Tony Chiu Wai Leung,Maggie Cheung,Drama Romance Sci-Fi,2046,Li Gong Tony Chiu Wai Leung Maggie Cheung Kar-Wai Wong Drama Romance Sci-Fi
Ira Sachs,David Richmond-Peck,Erin Boyes,Timothy Webber,Crime Drama Romance,married life,David Richmond-Peck Erin Boyes Timothy Webber Ira Sachs Crime Drama Romance
Carroll Ballard,Eamonn Walker,Hope Davis,Campbell Scott,Adventure Drama Family,duma,Eamonn Walker Hope Davis Campbell Scott Carroll Ballard Adventure Drama Family
Neil Jordan,Tony Curran,Stephen Rea,Alicja Bachleda,Drama Mystery Romance,ondine,Tony Curran Stephen Rea Alicja Bachleda Neil Jordan Drama Mystery Romance
Takeshi Kitano,Omar Epps,Tatyana Ali,James Shigeta,Crime Drama Thriller,brother,Omar Epps Tatyana Ali James Shigeta Takeshi Kitano Crime Drama Thriller
Anthony Russo,Michael Jeter,Isaiah Washington,Andy Davoli,Comedy Crime,welcome to collinwood,Michael Jeter Isaiah Washington Andy Davoli Anthony Russo Comedy Crime
Sidney Lumet,Kyra Sedgwick,Anne Bancroft,Albert Brooks,Comedy Drama,critical care,Kyra Sedgwick Anne Bancroft Albert Brooks Sidney Lumet Comedy Drama
Vadim Perelman,Eva Amurri Martino,Lynn Cohen,Brett Cullen,Drama Mystery Thriller,the life before her eyes,Eva Amurri Martino Lynn Cohen Brett Cullen Vadim Perelman Drama Mystery Thriller
Lawrence Kasdan,Dianne Wiest,Mark Duplass,Sam Shepard,Comedy Drama Romance,darling companion,Dianne Wiest Mark Duplass Sam Shepard Lawrence Kasdan Comedy Drama Romance
Marco Kreuzpaintner,Zack Ward,Kate del Castillo,Alicja Bachleda,Crime Drama Thriller,trade,Zack Ward Kate del Castillo Alicja Bachleda Marco Kreuzpaintner Crime Drama Thriller
Lajos Koltai,Marcell Nagy,Péter Fancsikai,Bálint Péntek,Drama Romance War,fateless,Marcell Nagy Péter Fancsikai Bálint Péntek Lajos Koltai Drama Romance War
Alan Rudolph,Bruce Willis,Albert Finney,Omar Epps,Comedy,breakfast of champions,Bruce Willis Albert Finney Omar Epps Alan Rudolph Comedy
Vincenzo Natali,David Hewlett,Jeremy Northam,Kari Matchett,Mystery Romance Sci-Fi Thriller,cypher,David Hewlett Jeremy Northam Kari Matchett Vincenzo Natali Mystery Romance Sci-Fi Thriller
Chuan Lu,Ye Liu,Yuanyuan Gao,Ryu Kohata,Drama History War,city of life and death,Ye Liu Yuanyuan Gao Ryu Kohata Chuan Lu Drama History War
Lijun Sun,Jon Heder,Tom Arnold,Rebecca Black,Action Adventure Animation Comedy Family,legend of kung fu rabbit,Jon Heder Tom Arnold Rebecca Black Lijun Sun Action Adventure Animation Comedy Family
Takashi Yamazaki,Takuya Kimura,Meisa Kuroki,Hiroyuki Ikeuchi,Action Adventure Drama Sci-Fi,space battleship yamato,Takuya Kimura Meisa Kuroki Hiroyuki Ikeuchi Takashi Yamazaki Action Adventure Drama Sci-Fi
Renny Harlin,Richard Coyle,Kenneth Cranham,Ana Imnadze,Action Drama War,5 days of war,Richard Coyle Kenneth Cranham Ana Imnadze Renny Harlin Action Drama War
Christopher Smith,Rachael Carpani,Michael Dorman,Emma Lung,Fantasy Mystery Thriller,triangle,Rachael Carpani Michael Dorman Emma Lung Christopher Smith Fantasy Mystery Thriller
Timothy Hines,Christopher Lambert,Kelly LeBrock,Alexandra Callas,Drama,10 days in a madhouse,Christopher Lambert Kelly LeBrock Alexandra Callas Timothy Hines Drama
Randall Wallace,Jacob Vargas,Connor Corum,Rob Moran,Biography Drama,heaven is for real,Jacob Vargas Connor Corum Rob Moran Randall Wallace Biography Drama
David Winters,Gary Daniels,Matt Marr,Ginger Jensen,Family Musical,dancin' it's on,Gary Daniels Matt Marr Ginger Jensen David Winters Family Musical
Mary Lambert,Miko Hughes,Fred Gwynne,Denise Crosby,Fantasy Horror,pet sematary,Miko Hughes Fred Gwynne Denise Crosby Mary Lambert Fantasy Horror
Akira Kurosawa,Tatsuo Matsumura,Tetsu Watanabe,Akira Terao,Drama,madadayo,Tatsuo Matsumura Tetsu Watanabe Akira Terao Akira Kurosawa Drama
Jamie Thraves,Paddy Considine,Caroline Dhavernas,Charlotte Sullivan,Drama Thriller,the cry of the owl,Paddy Considine Caroline Dhavernas Charlotte Sullivan Jamie Thraves Drama Thriller
Mabel Cheung,Wei Tang,Ching Wan Lau,Hailu Qin,Drama,a tale of three cities,Wei Tang Ching Wan Lau Hailu Qin Mabel Cheung Drama
Joe Dante,Phoebe Cates,Harry Carey Jr.,Zach Galligan,Comedy Fantasy Horror,gremlins,Phoebe Cates Harry Carey Jr. Zach Galligan Joe Dante Comedy Fantasy Horror
George Lucas,Harrison Ford,Peter Cushing,Kenny Baker,Action Adventure Fantasy Sci-Fi,star wars: episode iv - a new hope,Harrison Ford Peter Cushing Kenny Baker George Lucas Action Adventure Fantasy Sci-Fi
Dan Mazer,Robert De Niro,Zoey Deutch,Jason Mantzoukas,Comedy,dirty grandpa,Robert De Niro Zoey Deutch Jason Mantzoukas Dan Mazer Comedy
David Lean,Julie Christie,Klaus Kinski,Geraldine Chaplin,Drama Romance War,doctor zhivago,Julie Christie Klaus Kinski Geraldine Chaplin David Lean Drama Romance War
Stephen Daldry,Wagner Moura,Selton Mello,Daniel Zettel,Adventure Crime Drama Mystery Thriller,trash,Wagner Moura Selton Mello Daniel Zettel Stephen Daldry Adventure Crime Drama Mystery Thriller
Kenny Ortega,Lucas Grabeel,Matt Prokop,Corbin Bleu,Comedy Drama Family Music Musical Romance,high school musical 3: senior year,Lucas Grabeel Matt Prokop Corbin Bleu Kenny Ortega Comedy Drama Family Music Musical Romance
David O. Russell,Christian Bale,Jack McGee,Melissa McMeekin,Biography Drama Sport,the fighter,Christian Bale Jack McGee Melissa McMeekin David O. Russell Biography Drama Sport
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Action Comedy Documentary,jackass number two,Bam Margera Steve-O Chris Pontius Jeff Tremaine Action Comedy Documentary
Jonathan Lynn,Fred Gwynne,Bruce McGill,Lane Smith,Comedy Crime,my cousin vinny,Fred Gwynne Bruce McGill Lane Smith Jonathan Lynn Comedy Crime
R.J. Cutler,Chloë Grace Moretz,Mireille Enos,Stacy Keach,Drama Fantasy Music Romance,if i stay,Chloë Grace Moretz Mireille Enos Stacy Keach R.J. Cutler Drama Fantasy Music Romance
Brian Trenchard-Smith,Zoe Ventoura,Damien Garvey,Christopher Sommers,Action Comedy Crime,drive hard,Zoe Ventoura Damien Garvey Christopher Sommers Brian Trenchard-Smith Action Comedy Crime
David S. Ward,Corbin Bernsen,Tom Berenger,Rene Russo,Comedy Sport,major league,Corbin Bernsen Tom Berenger Rene Russo David S. Ward Comedy Sport
Oliver Parker,Lily Cole,Rupert Everett,Tamsin Egerton,Comedy,st. trinian's,Lily Cole Rupert Everett Tamsin Egerton Oliver Parker Comedy
Joel Schumacher,Radha Mitchell,John Enos III,Richard T. Jones,Crime Thriller,phone booth,Radha Mitchell John Enos III Richard T. Jones Joel Schumacher Crime Thriller
Adam Shankman,Lauren German,Peter Coyote,Paz de la Huerta,Drama Romance,a walk to remember,Lauren German Peter Coyote Paz de la Huerta Adam Shankman Drama Romance
Tim Robbins,Lois Smith,Celia Weston,Robert Prosky,Crime Drama,dead man walking,Lois Smith Celia Weston Robert Prosky Tim Robbins Crime Drama
Roger Kumble,Sarah Michelle Gellar,Sean Patrick Thomas,Eric Mabius,Drama Romance,cruel intentions,Sarah Michelle Gellar Sean Patrick Thomas Eric Mabius Roger Kumble Drama Romance
Kevin Greutert,Costas Mandylor,Shawnee Smith,George Newbern,Horror Mystery,saw vi,Costas Mandylor Shawnee Smith George Newbern Kevin Greutert Horror Mystery
Gina Prince-Bythewood,Nate Parker,Alicia Keys,Jennifer Hudson,Drama,the secret life of bees,Nate Parker Alicia Keys Jennifer Hudson Gina Prince-Bythewood Drama
Rob Pritts,Vincent Pastore,Vinessa Shaw,Peter Berg,Comedy Crime,corky romano,Vincent Pastore Vinessa Shaw Peter Berg Rob Pritts Comedy Crime
Brian De Palma,Steven Bauer,Gabrielle Carteris,Gregg Henry,Crime Drama Thriller,raising cain,Steven Bauer Gabrielle Carteris Gregg Henry Brian De Palma Crime Drama Thriller
Norman Jewison,Sylvester Stallone,Peter Boyle,Rod Steiger,Drama,f.i.s.t.,Sylvester Stallone Peter Boyle Rod Steiger Norman Jewison Drama
Tobe Hooper,Louise Fletcher,Bud Cort,William Bassett,Horror Sci-Fi,invaders from mars,Louise Fletcher Bud Cort William Bassett Tobe Hooper Horror Sci-Fi
John Crowley,Julie Walters,Fiona Glascott,Eva Birthistle,Drama Romance,brooklyn,Julie Walters Fiona Glascott Eva Birthistle John Crowley Drama Romance
Stanley Kubrick,Ryan O'Neal,Steven Berkoff,Hardy Krüger,Adventure Drama History War,barry lyndon,Ryan O'Neal Steven Berkoff Hardy Krüger Stanley Kubrick Adventure Drama History War
Brendan Malloy,Lee Majors,Jason London,Thomas Lennon,Comedy Sport,out cold,Lee Majors Jason London Thomas Lennon Brendan Malloy Comedy Sport
Reginald Hudlin,Will Ferrell,John Witherspoon,Tim Meadows,Comedy,the ladies man,Will Ferrell John Witherspoon Tim Meadows Reginald Hudlin Comedy
Dustin Hoffman,Luke Newberry,Sheridan Smith,Pauline Collins,Comedy Drama,quartet,Luke Newberry Sheridan Smith Pauline Collins Dustin Hoffman Comedy Drama
Gregory Poirier,Shannon Elizabeth,Jake Busey,David Ogden Stiers,Comedy,tomcats,Shannon Elizabeth Jake Busey David Ogden Stiers Gregory Poirier Comedy
Bill Paxton,Matthew McConaughey,Powers Boothe,Matt O'Leary,Crime Drama Thriller,frailty,Matthew McConaughey Powers Boothe Matt O'Leary Bill Paxton Crime Drama Thriller
Simon Curtis,Ryan Reynolds,Frances Fisher,Elizabeth McGovern,Biography Drama History,woman in gold,Ryan Reynolds Frances Fisher Elizabeth McGovern Simon Curtis Biography Drama History
Bill Condon,Liam Neeson,Oliver Platt,Dylan Baker,Biography Drama,kinsey,Liam Neeson Oliver Platt Dylan Baker Bill Condon Biography Drama
Sam Raimi,Patricia Tallman,Bridget Fonda,Embeth Davidtz,Comedy Fantasy Horror,army of darkness,Patricia Tallman Bridget Fonda Embeth Davidtz Sam Raimi Comedy Fantasy Horror
Dewey Nicks,Jaime King,Gedde Watanabe,Jim Rash,Comedy Romance,slackers,Jaime King Gedde Watanabe Jim Rash Dewey Nicks Comedy Romance
Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Kevin Tighe,Drama Romance,what's eating gilbert grape,Johnny Depp Leonardo DiCaprio Kevin Tighe Lasse Hallström Drama Romance
Philip Saville,Henry Ian Cusick,Alan Van Sprang,Scott Handy,Biography Drama History,the visual bible: the gospel of john,Henry Ian Cusick Alan Van Sprang Scott Handy Philip Saville Biography Drama History
Mike Leigh,Eddie Marsan,Sally Hawkins,Imelda Staunton,Crime Drama,vera drake,Eddie Marsan Sally Hawkins Imelda Staunton Mike Leigh Crime Drama
Daisy von Scherler Mayer,Michael McKean,Dash Mihok,Jimi Mistry,Comedy Music Romance,the guru,Michael McKean Dash Mihok Jimi Mistry Daisy von Scherler Mayer Comedy Music Romance
Mira Nair,Anjelica Huston,Chazz Palminteri,Vincent Gallo,Comedy Drama Romance,the perez family,Anjelica Huston Chazz Palminteri Vincent Gallo Mira Nair Comedy Drama Romance
Ethan Coen,Justin Timberlake,Max Casella,Alex Karpovsky,Drama Music,inside llewyn davis,Justin Timberlake Max Casella Alex Karpovsky Ethan Coen Drama Music
William A. Graham,Milla Jovovich,Wayne Pygram,Lisa Pelikan,Adventure Drama Romance,return to the blue lagoon,Milla Jovovich Wayne Pygram Lisa Pelikan William A. Graham Adventure Drama Romance
Martin Ritt,Frank Finlay,Anthony Zerbe,Samantha Eggar,Drama History,the molly maguires,Frank Finlay Anthony Zerbe Samantha Eggar Martin Ritt Drama History
John Turturro,Kate Winslet,Steve Buscemi,Eddie Izzard,Comedy Musical Romance,romance & cigarettes,Kate Winslet Steve Buscemi Eddie Izzard John Turturro Comedy Musical Romance
Agnieszka Holland,Phyllida Law,David Kennedy,Angus Barnett,Biography Drama Music,copying beethoven,Phyllida Law David Kennedy Angus Barnett Agnieszka Holland Biography Drama Music
Tobe Hooper,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson,Fantasy Horror,poltergeist,Heather O'Rourke Zelda Rubinstein Craig T. Nelson Tobe Hooper Fantasy Horror
Rowan Joffe,Sam Riley,Sean Harris,Geoff Bell,Crime Drama Thriller,brighton rock,Sam Riley Sean Harris Geoff Bell Rowan Joffe Crime Drama Thriller
David Hackl,Julie Benz,Costas Mandylor,Scott Patterson,Horror Mystery,saw v,Julie Benz Costas Mandylor Scott Patterson David Hackl Horror Mystery
Giuliano Montaldo,John Cassavetes,Gena Rowlands,Britt Ekland,Crime Drama Thriller,machine gun mccain,John Cassavetes Gena Rowlands Britt Ekland Giuliano Montaldo Crime Drama Thriller
Lisa Azuelos,Nora Dunn,Lina Esco,Alix Freihage,Comedy Drama Romance,lol,Nora Dunn Lina Esco Alix Freihage Lisa Azuelos Comedy Drama Romance
Ray Lawrence,John Howard,Deborra-Lee Furness,Max Cullen,Crime Drama Mystery Thriller,jindabyne,John Howard Deborra-Lee Furness Max Cullen Ray Lawrence Crime Drama Mystery Thriller
Karan Johar,Shah Rukh Khan,John Abraham,Preity Zinta,Drama,kabhi alvida naa kehna,Shah Rukh Khan John Abraham Preity Zinta Karan Johar Drama
Oliver Parker,Minnie Driver,Rupert Everett,Jeremy Northam,Comedy Romance,an ideal husband,Minnie Driver Rupert Everett Jeremy Northam Oliver Parker Comedy Romance
Ruairi Robinson,Romola Garai,Olivia Williams,Tom Cullen,Horror Sci-Fi Thriller,the last days on mars,Romola Garai Olivia Williams Tom Cullen Ruairi Robinson Horror Sci-Fi Thriller
Jaume Balagueró,Lena Olin,Giancarlo Giannini,Francesc Pagès,Horror,darkness,Lena Olin Giancarlo Giannini Francesc Pagès Jaume Balagueró Horror
Stanley Kubrick,Keir Dullea,Gary Lockwood,Glenn Beck,Adventure Mystery Sci-Fi,2001: a space odyssey,Keir Dullea Gary Lockwood Glenn Beck Stanley Kubrick Adventure Mystery Sci-Fi
Steven Spielberg,Henry Thomas,Dee Wallace,Peter Coyote,Family Sci-Fi,e.t. the extra-terrestrial,Henry Thomas Dee Wallace Peter Coyote Steven Spielberg Family Sci-Fi
Jon Kasdan,Kristen Stewart,Elena Anaya,Dustin Milligan,Comedy Drama Romance,in the land of women,Kristen Stewart Elena Anaya Dustin Milligan Jon Kasdan Comedy Drama Romance
Léa Pool,William Hurt,Marc Donato,Raoul Max Trujillo,Adventure Drama,the blue butterfly,William Hurt Marc Donato Raoul Max Trujillo Léa Pool Adventure Drama
Floyd Mutrux,Ricky Schroder,Kelli Williams,Seymour Cassel,Comedy Drama,there goes my baby,Ricky Schroder Kelli Williams Seymour Cassel Floyd Mutrux Comedy Drama
unknown,Antonia Thomas,Johnny Flynn,Hannah Britland,Comedy,lovesick            ,Antonia Thomas Johnny Flynn Hannah Britland unknown Comedy
Sajid Khan,Arjun Rampal,Boman Irani,Riteish Deshmukh,Comedy,housefull,Arjun Rampal Boman Irani Riteish Deshmukh Sajid Khan Comedy
Christopher Cain,Jon Gries,Taylor Handley,Trent Ford,Drama History Romance Western,september dawn,Jon Gries Taylor Handley Trent Ford Christopher Cain Drama History Romance Western
Dean Wright,Santiago Cabrera,Eduardo Verástegui,Catalina Sandino Moreno,Drama History War,for greater glory: the true story of cristiada,Santiago Cabrera Eduardo Verástegui Catalina Sandino Moreno Dean Wright Drama History War
Eric Lartigau,Karin Viard,Eric Elmosnino,François Damiens,Comedy Drama Music,la famille bélier,Karin Viard Eric Elmosnino François Damiens Eric Lartigau Comedy Drama Music
Gus Van Sant,Robin Williams,Matt Damon,Minnie Driver,Drama,good will hunting,Robin Williams Matt Damon Minnie Driver Gus Van Sant Drama
Shintaro Shimosawa,Al Pacino,Anthony Hopkins,Glen Powell,Drama Thriller,misconduct,Al Pacino Anthony Hopkins Glen Powell Shintaro Shimosawa Drama Thriller
Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Leigh Whannell,Horror Mystery,saw iii,Costas Mandylor Shawnee Smith Leigh Whannell Darren Lynn Bousman Horror Mystery
Ivan Reitman,Bill Murray,Harold Ramis,Judge Reinhold,Action Comedy War,stripes,Bill Murray Harold Ramis Judge Reinhold Ivan Reitman Action Comedy War
Peyton Reed,Kirsten Dunst,Lindsay Sloane,Clare Kramer,Comedy Sport,bring it on,Kirsten Dunst Lindsay Sloane Clare Kramer Peyton Reed Comedy Sport
James DeMonaco,Frank Grillo,Joseph Julian Soria,Mykelti Williamson,Action Horror Sci-Fi Thriller,the purge: election year,Frank Grillo Joseph Julian Soria Mykelti Williamson James DeMonaco Action Horror Sci-Fi Thriller
Robert Iscove,Paul Walker,Clea DuVall,Kieran Culkin,Comedy Romance,she's all that,Paul Walker Clea DuVall Kieran Culkin Robert Iscove Comedy Romance
Lee Daniels,Mo'Nique,Gabourey Sidibe,Mariah Carey,Drama,precious,Mo'Nique Gabourey Sidibe Mariah Carey Lee Daniels Drama
Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Angus Macfadyen,Horror Mystery,saw iv,Costas Mandylor Shawnee Smith Angus Macfadyen Darren Lynn Bousman Horror Mystery
Geoffrey Sax,Deborah Kara Unger,Keegan Connor Tracy,Mike Dopud,Drama Horror Mystery Thriller,white noise,Deborah Kara Unger Keegan Connor Tracy Mike Dopud Geoffrey Sax Drama Horror Mystery Thriller
